mineral,use_case,principal_source_country_user,principal_source_relationship_user,top_world_producer_2021,top_world_producer_relationship,top_world_producer_share_pct,nir_values_raw,import_reliance_pct,source_concentration_pct,sector_tags,primary_sector,relationship_risk_score,sector_impact_score,shortfall_risk_score,shortfall_risk_band,data_gap_note
Ytterbium,"used for catalysts, scintillometers, lasers, and metallurgy",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Industrial base,Defense / aerospace,100,80,83.5,Critical,Mapped to grouped USGS Rare Earths table. 
Cerium,"used in catalytic converters, ceramics, glass, metallurgy, and polishing compounds",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Energy transition; Industrial base,Energy transition,100,80,83.5,Critical,Mapped to grouped USGS Rare Earths table. 
Gadolinium,"used in medical imaging, permanent magnets, and steelmaking",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Energy transition; Industrial base,Energy transition,100,80,83.5,Critical,Mapped to grouped USGS Rare Earths table. 
Antimony,used in lead-acid batteries and flame retardants,China,competitor,China,competitor,54.54545454545454,84,84.0,54.54545454545454,Batteries; Energy transition,Batteries,100,95,82.3,Critical,
Lutetium,"used in scintillators for medical imaging, electronics, and some cancer therapies",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Semiconductors / electronics,Semiconductors / electronics,100,65,81.2,Critical,Mapped to grouped USGS Rare Earths table. 
Thulium,used in various metal alloys and in lasers,China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace,Defense / aerospace,100,65,81.2,Critical,Mapped to grouped USGS Rare Earths table. 
Europium,used in phosphors and nuclear control rods,China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace,Defense / aerospace,100,65,81.2,Critical,Mapped to grouped USGS Rare Earths table. 
Arsenic,used in semi-conductors,China,competitor,Peru,neutral,45.76271186440678,100.0,100.0,45.76271186440678,Semiconductors / electronics,Semiconductors / electronics,100,65,81.2,Critical,
Titanium,used as a white pigment or metal alloys,China,competitor,United States,ally,,E; >90,90.0,,Defense / aerospace; Industrial base,Defense / aerospace,100,80,81.0,Critical,World production uses titanium mineral concentrates; salient stats use titanium and titanium dioxide. 
Palladium,used in catalytic converters and as a catalyst agent,Russia,competitor,South Africa,neutral,72.22222222222221,37.0; 70.0,70.0,72.22222222222221,Energy transition,Energy transition,100,65,77.3,Critical,Mapped to grouped USGS Platinum-Group Metals table. 
Cobalt,used in rechargeable batteries and superalloys,Democratic Republic of the Congo,neutral,Democratic Republic of the Congo,neutral,70.58823529411765,76,76.0,70.58823529411765,Defense / aerospace; Batteries; Energy transition,Defense / aerospace,60,100,74.2,High,
Manganese,used in steelmaking and batteries,South Africa,neutral,South Africa,neutral,37.0,100,100.0,37.0,Batteries; Energy transition; Industrial base,Batteries,60,100,74.2,High,
Germanium,used for fiber optics and night vision applications,China,competitor,China,competitor,67.85714285714286,>50%,50.0,67.85714285714286,Defense / aerospace; Semiconductors / electronics,Defense / aerospace,100,95,73.7,High,
Magnesium,used as an alloy and for reducing metals,China,competitor,China,competitor,84.21052631578947,<50,50.0,84.21052631578947,Defense / aerospace,Defense / aerospace,100,65,73.3,High,
Tungsten,primarily used to make wear-resistant metals,China,competitor,China,competitor,83.54430379746836,>50,50.0,83.54430379746836,Defense / aerospace,Defense / aerospace,100,65,73.1,High,
Tantalum,"used in electronic components, mostly capacitors and in superalloys",Democratic Republic of the Congo,neutral,Democratic Republic of the Congo,neutral,33.33333333333333,100,100.0,33.33333333333333,Defense / aerospace; Semiconductors / electronics,Defense / aerospace,60,95,72.6,High,
Tin,used as protective coatings and alloys for steel,China,competitor,China,competitor,30.333333333333336,78.0,78.0,30.333333333333336,Defense / aerospace; Industrial base,Defense / aerospace,100,80,71.9,High,
Vanadium,primarily used as alloying agent for iron and steel,China,competitor,China,competitor,66.36363636363637,,,66.36363636363637,Defense / aerospace; Industrial base,Defense / aerospace,100,80,71.1,High,No salient statistics table in provided salient.zip. 
Barite,used in hydrocarbon production,China,competitor,China,competitor,38.35616438356164,>75,75.0,38.35616438356164,Industrial base,Industrial base,100,50,68.3,High,
Platinum,used in catalytic converters,South Africa,neutral,South Africa,neutral,72.22222222222221,37.0; 70.0,70.0,72.22222222222221,Energy transition,Energy transition,60,65,67.3,High,Mapped to grouped USGS Platinum-Group Metals table. 
Rhodium,"used in catalytic converters, electrical components, and as a catalyst",South Africa,neutral,South Africa,neutral,72.22222222222221,37.0; 70.0,70.0,72.22222222222221,Energy transition,Energy transition,60,65,67.3,High,Mapped to grouped USGS Platinum-Group Metals table. 
Ruthenium,"used as catalysts, as well as electrical contacts and chip resistors in computers",South Africa,neutral,South Africa,neutral,72.22222222222221,37.0; 70.0,70.0,72.22222222222221,Semiconductors / electronics,Semiconductors / electronics,60,65,67.3,High,Mapped to grouped USGS Platinum-Group Metals table. 
Zinc,primarily used in metallurgy to produce galvanized steel,China,competitor,China,competitor,32.30769230769231,E; 76.0,76.0,32.30769230769231,Industrial base,Industrial base,100,50,67.2,High,
Chromium,used primarily in stainless steel and other alloys,South Africa,neutral,South Africa,neutral,43.90243902439025,80,80.0,43.90243902439025,Defense / aerospace; Industrial base,Defense / aerospace,60,80,66.0,High,
Iridium,used as coating of anodes for electrochemical processes and as a chemical catalyst,South Africa,neutral,South Africa,neutral,72.22222222222221,37.0; 70.0,70.0,72.22222222222221,Industrial base,Industrial base,60,50,65.1,High,Mapped to grouped USGS Platinum-Group Metals table. 
Fluorspar,"used in the manufacture of aluminum, cement, steel, gasoline, and fluorine chemicals",Mexico,ally,China,competitor,62.7906976744186,100,100.0,62.7906976744186,Industrial base,Industrial base,25,50,64.4,High,
Aluminum,used in almost all sectors of the economy,China,competitor,China,competitor,63.23529411764706,44,44.0,63.23529411764706,Other / research,Other / research,100,50,63.7,High,
Nickel,"used to make stainless steel, superalloys, and rechargeable batteries",Indonesia,neutral,Indonesia,neutral,37.03703703703704,48,48.0,37.03703703703704,Defense / aerospace; Batteries; Energy transition; Industrial base,Defense / aerospace,60,100,56.1,High,
Rubidium,used for research and development in electronics,Canada,ally,,,,,,,Semiconductors / electronics,Semiconductors / electronics,25,65,46.0,Moderate,No country-level world table in provided world.zip. No salient statistics table in provided salient.zip. 
Cesium,used in research and development,Canada,ally,,,,,,,Other / research,Other / research,25,50,43.8,Moderate,No country-level world table in provided world.zip. No salient statistics table in provided salient.zip. 
Lithium,used for rechargeable batteries,Australia,ally,Australia,ally,55.00000000000001,>25,25.0,55.00000000000001,Batteries; Energy transition,Batteries,25,95,43.0,Moderate,
Beryllium,used as an alloying agent in aerospace and defense industries,United States,ally,United States,ally,65.38461538461539,16,16.0,65.38461538461539,Defense / aerospace,Defense / aerospace,25,65,37.9,Moderate,
Hafnium,"used for nuclear control rods, alloys, and high-temperature ceramics",Australia,ally,Australia,ally,33.33333333333333,<25,25.0,33.33333333333333,Defense / aerospace,Defense / aerospace,25,65,33.1,Lower,Mapped to grouped USGS Zirconium and Hafnium table. 
Zirconium,used in the high-temperature ceramics and corrosion-resistant alloys,Australia,ally,Australia,ally,33.33333333333333,<25,25.0,33.33333333333333,Defense / aerospace,Defense / aerospace,25,65,33.1,Lower,
